שם ח״כ,מפלגה,שעות,ועדות,שאילתות
אופיר כץ,הליכוד,287:09,28,0
שמחה רוטמן,הציונות הדתית בראשות בצלאל סמוטריץ',242:21,19,0
אוהד טל,הציונות הדתית בראשות בצלאל סמוטריץ',217:52,11,0
אורי מקלב,יהדות התורה,214:43,2,0
אברהם בצלאל,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",211:18,29,3
אבי מעוז,נעם - בראשות אבי מעוז,205:46,0,0
אליהו רביבו,הליכוד,204:03,9,0
יוסף טייב,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",203:45,9,0
אמיר אוחנה,הליכוד,202:49,0,0
משה טור פז,יש עתיד,196:12,12,0
יצחק קרויזר,עוצמה יהודית בראשות איתמר בן גביר,191:15,17,0
ינון אזולאי,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",185:08,28,0
משה סעדה,הליכוד,184:29,18,0
יצחק זאב פינדרוס,יהדות התורה,183:40,18,1
מירב כהן,יש עתיד,182:14,3,0
לימור סון הר מלך,עוצמה יהודית בראשות איתמר בן גביר,182:00,9,1
יונתן מישרקי,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",180:10,22,1
גלעד קריב,העבודה,170:16,17,0
אלון שוסטר,המחנה הממלכתי,161:24,6,1
ניסים ואטורי,הליכוד,160:54,8,0
אימאן ח'טיב יאסין,"רע""ם",160:25,17,6
שרון ניר,ישראל ביתנו,159:13,14,0
דן אילוז,הליכוד,158:40,2,0
זאב אלקין,המחנה הממלכתי,157:32,13,0
ולדימיר בליאק,יש עתיד,156:39,25,1
מטי צרפתי הרכבי,יש עתיד,156:24,11,1
אלמוג כהן,עוצמה יהודית בראשות איתמר בן גביר,152:44,4,0
אוריאל בוסו,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",152:31,10,1
עודד פורר,ישראל ביתנו,152:05,5,0
משה סולומון,הציונות הדתית בראשות בצלאל סמוטריץ',149:40,18,0
טטיאנה מזרסקי,יש עתיד,149:16,6,1
מתן כהנא,המחנה הממלכתי,148:15,12,0
ישראל אייכלר,יהדות התורה,147:57,9,0
יעקב אשר,יהדות התורה,145:00,15,0
חנוך דב מלביצקי,הליכוד,144:15,27,1
נעמה לזימי,העבודה,143:59,12,2
בועז ביסמוט,הליכוד,142:59,17,0
צביקה פוגל,עוצמה יהודית בראשות איתמר בן גביר,141:19,10,0
מיכל מרים וולדיגר,הציונות הדתית בראשות בצלאל סמוטריץ',138:43,1,0
אלי דלל,הליכוד,138:28,18,1
אחמד טיבי,"חד""ש-תע""ל",135:14,16,2
סימון דוידסון,יש עתיד,135:06,6,2
אפרת רייטן מרום,העבודה,134:07,5,0
חילי טרופר,המחנה הממלכתי,133:01,3,0
פנינה תמנו,המחנה הממלכתי,132:40,5,0
יואב סגלוביץ',יש עתיד,132:24,12,0
שלום דנינו,הליכוד,131:19,6,0
טלי גוטליב,הליכוד,129:52,14,1
אריאל קלנר,הליכוד,129:32,11,3
יואב בן צור,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",125:05,0,0
עמית הלוי,הליכוד,124:34,3,0
מיקי לוי,יש עתיד,123:12,4,0
אביגדור ליברמן,ישראל ביתנו,122:43,3,1
יסמין פרידמן,יש עתיד,122:05,3,1
יוסף עטאונה,"חד""ש-תע""ל",122:05,13,4
חמד עמאר,ישראל ביתנו,121:04,6,0
קארין אלהרר,יש עתיד,120:31,14,0
יריב לוין,הליכוד,117:44,1,0
יוראי להב הרצנו,יש עתיד,117:10,6,1
אורית פרקש הכהן,המחנה הממלכתי,114:41,8,0
יולי יואל אדלשטיין,הליכוד,113:01,1,0
מאיר פרוש,יהדות התורה,111:22,3,0
יוליה מלינובסקי,ישראל ביתנו,111:13,8,1
עמיחי אליהו,עוצמה יהודית בראשות איתמר בן גביר,111:06,0,0
נאור שירי,יש עתיד,110:43,3,0
מאיר כהן,יש עתיד,110:13,2,0
רון כץ,יש עתיד,110:13,4,1
מיכאל מרדכי ביטון,המחנה הממלכתי,108:32,13,1
יבגני סובה,ישראל ביתנו,107:20,9,0
ואליד אלהואשלה,"רע""ם",107:18,10,22
חוה אתי עטייה,הליכוד,106:49,1,0
אלעזר שטרן,יש עתיד,106:09,3,0
שרן מרים השכל,המחנה הממלכתי,103:11,7,0
מנסור עבאס,"רע""ם",102:31,2,0
דבי ביטון,יש עתיד,102:22,8,1
עמיחי שיקלי,הליכוד,101:40,1,0
גדי איזנקוט,המחנה הממלכתי,101:40,0,0
גדעון סער,המחנה הממלכתי,101:05,2,0
עידן רול,יש עתיד,100:47,0,0
אורנה ברביבאי,יש עתיד,100:09,4,0
יפעת שאשא ביטון,המחנה הממלכתי,99:55,0,0
בצלאל סמוטריץ',הציונות הדתית בראשות בצלאל סמוטריץ',99:32,0,0
עאידה תומא סלימאן,"חד""ש-תע""ל",99:10,16,0
משה אבוטבול,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",97:52,0,0
יצחק שמעון וסרלאוף,עוצמה יהודית בראשות איתמר בן גביר,94:02,0,0
אורית סטרוק,הציונות הדתית בראשות בצלאל סמוטריץ',92:58,0,0
דוד ביטן,הליכוד,92:16,7,0
גלית דיסטל אטבריאן,הליכוד,91:16,0,0
משה גפני,יהדות התורה,90:18,18,0
יואב קיש,הליכוד,90:12,1,0
איתמר בן גביר,עוצמה יהודית בראשות איתמר בן גביר,87:40,0,0
מיכל שיר סגמן,יש עתיד,81:41,15,1
